Year_of_release,Videos_created,track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,time_signature.2,duration_ms.2,time_signature.1,duration_ms.1
2022,27.3K videos,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,85,JORDI (Deluxe),82,0.713,0.676,-5.483,1,10,0.027,0.0377,0,0.154,0.721,99.048,4,227395,4,227395,4,227395
2022,106.3K videos,RAPSTAR,Polo G,83,RAPSTAR,49,0.789,0.536,-6.862,1,6,0.242,0.41,0,0.129,0.437,81.039,4,165926,4,165926,4,165926
2022,0,Lies,Dame Dame,48,Lies,37,0.823,0.771,-6.055,0,9,0.0365,0.627,0.00101,0.271,0.658,122.015,4,156885,4,156885,4,156885
2022,0,Ready 4 Luv - TMLH Summer Mix,CAZZETTE,50,Ready 4 Luv (TMLH Summer Mix),55,0.679,0.869,-4.701,0,5,0.138,0.00969,1.32E-05,0.278,0.41,125.09,4,170040,4,170040,4,170040
2022,157.1K videos,Ain't Shit,Doja Cat,88,Planet Her,81,0.855,0.488,-4.601,1,3,0.208,0.506,0,0.347,0.619,124.097,4,174253,4,174253,4,174253
2022,3 videos,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,66,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),77,0.722,0.893,-3.255,0,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,4,116750,4,116750,4,116750
2022,36.6K videos,So Pretty,Reyanna Maria,51,So Pretty,66,0.799,0.543,-6.094,0,10,0.24,0.0512,0.0425,0.134,0.25,187.906,4,85742,4,85742,4,85742
2022,2.6M videos,Todo De Ti,Rauw Alejandro,89,Todo De Ti,82,0.78,0.718,-3.605,0,3,0.0506,0.31,0.000163,0.0932,0.342,127.949,4,199604,4,199604,4,199604
2022,256.6K videos,Write This Down (Instrumental),SoulChef,55,Escapism: Instrumentals,1,0.826,0.738,-4.658,0,10,0.0444,0.00355,0.939,0.0633,0.781,93.005,4,188421,4,188421,4,188421
2022,0,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,90,Justice,86,0.677,0.696,-6.181,1,0,0.119,0.321,0,0.42,0.464,90.03,4,198082,4,198082,4,198082
2022,170.7K videos,positions,Ariana Grande,87,positions,3,0.736,0.802,-4.759,1,0,0.0864,0.468,0,0.094,0.675,144.005,4,172325,4,172325,4,172325
2022,0,Slow Down,Coopex,60,Slow Down,0,0.715,0.72,-3.906,1,9,0.193,0.134,0,0.366,0.41,128.048,4,138779,4,138779,4,138779
2022,0,What If,HOURS,35,What If,0,0.609,0.777,-5.879,1,6,0.0353,0.00162,1.28E-06,0.073,0.349,126.001,4,154286,4,154286,4,154286
2022,644.6K videos,Running Away,VANO 3000,55,Running Away,72,0.58,0.696,-10.91,1,7,0.0408,0.66,0.852,0.145,0.721,93.688,4,111787,4,111787,4,111787
2022,55.5K videos,Aesthetic,Xilo,39,Aesthetic,2,0.714,0.594,-10.63,1,0,0.43,0.965,0.255,0.129,0.45,169.837,4,158436,4,158436,4,158436
2022,518.6K videos,Levitating (feat. DaBaby),Dua Lipa,88,Future Nostalgia,85,0.702,0.825,-3.787,0,6,0.0601,0.00883,0,0.0674,0.915,102.977,4,203064,4,203064,4,203064
2022,12 videos,Work from Home,Coopex,60,Work from Home,54,0.845,0.669,-7.886,1,8,0.0658,0.181,0.00347,0.0897,0.86,125.014,4,151680,4,151680,4,151680
2022,1.2M videos,Bundles (feat. Taylor Girlz),Kayla Nicole,54,Bundles (feat. Taylor Girlz),67,0.939,0.682,-5.931,1,11,0.306,0.00152,0,0.0552,0.584,130.022,4,154806,4,154806,4,154806
2022,523.7K videos,Sweater Weather,The Neighbourhood,83,I Love You.,90,0.612,0.807,-2.81,1,10,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,240400,4,240400,4,240400
